Count	UID	Fingerprint
1	93sam	CEBB52301D617E910390FE16587979573442684E
2	aba	
3	abe	
4	abi	
5	absurd	54EB6D089FA37C19A64590B3066DE8017E2B61D9
6	achernya	3224C4469D7DF8F3D6F41A02BBC756DDBE595F6B
7	acid	5361BD40015B74382739101A611BA9508B78A5C2
8	acornet	
9	adamm	90B66A695BB4557F228CE989E523F220AC8DFBD0
10	adconrad	8BC600805AAC660FEB4D198383401A30B1CDE58F
11	adejong	452EC2CB65CF68C2A1ADBF5F2A8B746810E0AFC1
12	adn	3E5FF5F704DA71974CFB4E31DE9F93584D474C1B
13	adsb	7203630E2C8E727251684FEBC5CE5DC2C542CD59
14	aeb	25714AECDBFDACEE1CE95FE77F6022516E869F64
15	afayolle	
16	ag	
17	agi	5347CBD83E30A9EB4D7D4BF2009B33756B9AAA55
18	agmartin	ED78D97FA0065393A48AC71398B9E4BEEA6CB7B3
19	agney	
20	agx	D3439DAA19DCFACDAE879CF2B999CDB58C8DDBD2
21	ah	FAE1E5B64652BE798E278CC20BC47DC64D135306
22	ahs3	89C95A288ED9190FB81892D6530CB002D761B16C
23	aigarius	166C2BA88956443CDD637F46FA643BA61D227AFB
24	ajk	
25	ajmitch	
26	ajqlee	
27	ajt	4E56CFC8D2036C0D69F347786177B35582A8D8A6
28	akira	04FA3190D777DFC49F1BD28B93B3C2434E7609B8
29	akumar	466FDDBF10560F509CDE3A4C7A8F49E8B63480BE
30	alain	
31	alee	
32	alejandro	A3CAEB0BE94B06BE8EF84EB571396D61F1C09EFB
33	alerios	
34	alessio	04160004A8276E40BB9890FBE8A48AE5311D765A
35	alex	9D289851E71F9673192A1046159767DF3B773EC1
36	alexander	
37	alexp	861E40A353C217CCEA4C27B2759D33F5C15F0596
38	alfs	55D640C2AE41CF92C4DC8804B9A81DDEB19B4B16
39	algernon	10E65DC045EABEFCC5193A26AC1E90BAC433F68F
40	aloiret	
41	alteholz	C74F6AC9E933B3067F52F33FA459EC6715B0705F
42	amacater	55965E3993E06E2B5BA5CD844AA8FC2422EF1F0F
43	amaya	FB693A748E2BF8E01C4BC8E2C3016ACB317F2731
44	amejia	2655978EA053D586597FE5D63FB9C78A53C854DF
45	ametzler	D2E092039EF8D496EDF4FA5EA54F018543821484
46	ana	7A33ECAA188B96F27C917288B3464F896AA15948
47	anarcat	8DC901CE64146C048AD50FBB792152527B75921E
48	anbe	EBF30A30A8D9C63BDA44C6945FB33F9359E9ED08
49	and	45C75861BE88634A0CD2905CB0A2F1A9B3E6122C
50	anderson	
51	andi	938A5CEE1E290DE255D9AC98B01FEA84617B586D
52	andreas	
53	andree	
54	andrelop	9E9A41001622548B562493E3B6F6F753E15B47E9
55	andrewsh	782130B4C9944247977B82FD6EA4D2311A2D268D
56	anfra	
57	angdraug	7FD9D652BF5FD2EC5F1391B0798F1E35CB4D38A9
58	angel	4A0897191621CCF7FBEEF752A6D58816010A1096
59	anibal	C6045C813887B77C2DFF97A57C56ACFE947897D8
60	ansgar	80E976F14A508A48E9CA3FE9BC372252CA1CF964
61	antonio	40E6D8AC1900D5246B7CE6B535C8C88872CB1EED
62	apeeters	
63	apoikos	3E02FD6656295952110BAB99F51B18C720248224
64	apollock	5B702496CFA6A507239C2D7951DFD93B3EFB79EF
65	appaji	BF813A99E07CD0F8653D9666A8D2CD13AA544AA1
66	apw	
67	aquette	35610CB997C2245289817328ACC0E41055CA5976
68	ar	BADAB1EEB153F414CFA505F4AEEC6E7302754958
69	ardo	274110CCBCD0DFDF7591B3E583B4B2DC119A098F
